date,airport,direction,time,destination,flight,airline,airline_source,duration,page_date_verified,scraped_at
2026-02-19,BKK,departure,10:50,DAD Da Nang,VZ960,Vietjet Thailand,text,1h 40m,True,2026-02-10T19:26:43.551916
2026-02-19,BKK,departure,10:50,NNG Nanning,GX8910,GX Airlines,text,2h 5m,True,2026-02-10T19:26:43.639066
2026-02-19,BKK,departure,10:55,DAC Dhaka,TG321,Thai Airways,text,2h 35m,True,2026-02-10T19:26:43.726323
2026-02-19,BKK,departure,10:55,KMG Kunming,TG612,Thai Airways,text,2h 10m,True,2026-02-10T19:26:43.815229
2026-02-19,BKK,departure,10:55,LPQ Luang Prabang,PG941,Bangkok Airways,text,2h 10m,True,2026-02-10T19:26:43.900393
2026-02-19,BKK,departure,10:55,TPE Taipei,CI834,China Airlines,text,3h 30m,True,2026-02-10T19:26:43.988436
2026-02-19,BKK,departure,11:00,GAY Gaya,TG327,Thai Airways,text,3h 10m,True,2026-02-10T19:26:44.075214
2026-02-19,BKK,departure,11:00,HDY Hat Yai,VZ324,Vietjet Thailand,text,1h 30m,True,2026-02-10T19:26:44.164557
2026-02-19,BKK,departure,11:05,UBP Ubon Ratchathani,VZ220,Vietjet Thailand,text,1h 10m,True,2026-02-10T19:26:44.265163
2026-02-19,BKK,departure,11:05,KUL Kuala Lumpur,MH785,Malaysia Airlines,text,2h 20m,True,2026-02-10T19:26:44.362972
2026-02-19,BKK,departure,11:10,KKC Khon Kaen,FD4501,Thai AirAsia,text,1h 20m,True,2026-02-10T19:26:44.449502
2026-02-19,BKK,departure,11:10,HAK Haikou,HU7940,Hainan Airlines,text,2h 15m,True,2026-02-10T19:26:44.537745
